,Municipio,Provincia,Comunidad Autónoma,Habitantes (2022),Carril Bici,Precios alquiler,Distancia a Madrid (km),Tiempo medio de viaje a Madrid en coche,Tiempo medio de viaje a Madrid en tren o autobús,Distancia a Barcelona (km),Tiempo medio de viaje a Barcelona en coche,Tiempo medio de viaje a Barcelona en tren o autobús,Aeropuerto Internacional más cercano,Número deconexiones delaeropuerto internacionalmás cercano,Distancia al aeropuerto internacional más cercano (km),Temperatura máxima media (ºC),Temperatura mínima media (ºC),Número de visitantes internacionales al año,Precio medio vivienda (EUR/m2),Patrimonio de la Humanidad,Ponderación calidad del aire,Horas de Sol mediasanuales
0,A Coruña,A Coruña,Galicia,244700.0,20.4,9.1,593.0,337,272.0,1084.0,,,A Coruña,9.0,11.6,24.0,7.0,,2.3,Sí,410.0,2.453
1,Albacete,Albacete,Castilla-La Mancha,172357.0,24.4,7.1,260.0,154,97.0,545.0,322.0,325.0,Alacant-Elx Miguel Hernández,119.0,169.0,33.0,0.0,,1.417,No,369.0,3.282
2,Alcalá de Guadaíra,Sevilla,Andalucía,75917.0,,6.6,531.0,309,209.0,995.0,590.0,,Sevilla,70.0,21.1,35.0,5.0,,1.277,No,397.0,3.526
3,Alcalá de Henares,Madrid,Madrid,196888.0,28.0,9.9,40.0,39,,586.0,330.0,200.0,Adolfo Suárez Madrid-Barajas,174.0,21.0,33.0,1.0,,1.654,Sí,396.0,2.691
4,Alcobendas,Madrid,Madrid,117041.0,53.8,12.0,24.0,25,,613.0,347.0,229.0,Adolfo Suárez Madrid-Barajas,174.0,9.1,33.0,0.0,,3.084,No,408.0,2.691
5,Alcorcón,Madrid,Madrid,170296.0,17.6,10.8,15.0,34,,631.0,363.0,189.0,Adolfo Suárez Madrid-Barajas,174.0,29.5,33.0,0.0,,1.761,No,398.0,2.691
6,Algeciras,Cádiz,Andalucía,122368.0,,7.1,662.0,380,340.0,1106.0,,,Jerez,16.0,107.0,28.0,11.0,,1.168,No,401.0,3.316
7,Alicante,Alicante,Comunidad Valenciana,338577.0,39.3,9.4,427.0,242,145.0,525.0,318.0,,Alacant-Elx Miguel Hernández,119.0,11.1,31.0,7.0,841152.0,1.705,No,423.0,3.397
8,Almería,Almería,Andalucía,199237.0,40.2,7.6,551.0,315,605.0,803.0,475.0,,Almería,19.0,8.6,30.0,8.0,,1.302,No,387.0,3.305
9,Arona,Santa Cruz de Tenerife,Santa Cruz de Tenerife,82982.0,,13.7,2029.0,2520,,2504.0,,,Tenerife Sur,102.0,18.9,25.0,13.0,,1.771,No,,3.098
10,Avilés,Asturias,Asturias,75877.0,9.9,6.8,481.0,281,,893.0,529.0,,Asturias,24.0,14.5,22.0,7.0,,1.274,No,395.0,1.962
11,Badajoz,Badajoz,Extremadura,150146.0,,6.7,404.0,224,268.0,1021.0,593.0,,Sevilla,70.0,217.0,35.0,3.0,,1.374,No,423.0,3.224
12,Badalona,Barcelona,Cataluña,223506.0,0.9,12.8,633.0,381,182.0,10.0,,,Josep TarradellasBarcelona-El Prat,170.0,24.7,29.0,5.0,,2.247,No,429.0,2.453
13,Barakaldo,Bizkaia,País Vasco,100535.0,16.0,11.3,408.0,243,294.0,612.0,351.0,580.0,Bilbao,46.0,16.0,24.0,6.0,,1.731,No,423.0,1.694
14,Barcelona,Barcelona,Cataluña,1636193.0,14.1,18.4,623.0,375,165.0,0.0,,,Josep TarradellasBarcelona-El Prat,170.0,12.6,28.0,5.0,8200000.0,4.063,Sí,429.0,2.453
15,Bilbao,Bizkaia,País Vasco,344127.0,9.8,13.3,401.0,239,268.0,605.0,344.0,610.0,Bilbao,46.0,12.1,24.0,5.0,1100000.0,3.174,No,442.0,1.694
16,Burgos,Burgos,Castilla y León,173483.0,34.6,7.9,248.0,157,144.0,602.0,346.0,288.0,Vitoria,3.0,122.0,27.0,-1.0,,1.642,Sí,476.0,2.751
